"id","lang","name","description"
"1","cs","moře","Slané vodní prostředí oceánů a moří."
"1","en","Sea","A saltwater environment of oceans and seas."
"1","de","Meer","Ein salziges Wasserumfeld von Ozeanen und Meeren."
"2","cs","sladké vody","Řeky, jezera a další sladkovodní biotopy."
"2","en","Freshwater","Rivers, lakes, and other freshwater habitats."
"2","de","Süßwasser","Flüsse, Seen und andere Süßwasserhabitate."
"3","cs","poušť a polopoušť","Suché oblasti s minimem srážek."
"3","en","Desert and semi-desert","Arid regions with minimal precipitation."
"3","de","Wüste und Halbwüste","Trockene Gebiete mit minimalem Niederschlag."
"4","cs","travnaté území","Louky, savany a stepi s převahou trav."
"4","en","Grasslands","Meadows, savannas, and steppes dominated by grasses."
"4","de","Grasland","Wiesen, Savannen und Steppen, die von Gräsern dominiert werden."
"5","cs","hory","Vysoce položené oblasti s extrémními podmínkami."
"5","en","Mountains","High-altitude regions with extreme conditions."
"5","de","Berge","Hochgelegene Regionen mit extremen Bedingungen."
"6","cs","tropický les","Husté lesy v teplých a vlhkých oblastech."
"6","en","Tropical forest","Dense forests in warm and humid regions."
"6","de","Tropischer Wald","Dichte Wälder in warmen und feuchten Regionen."
"7","cs","listnatý a smíšený les","Lesy složené z listnatých i jehličnatých stromů."
"7","en","Deciduous and mixed forest","Forests composed of both deciduous and coniferous trees."
"7","de","Laub- und Mischwald","Wälder aus Laub- und Nadelbäumen."
"8","cs","jehličnatý les","Lesy s převahou jehličnatých stromů."
"8","en","Coniferous forest","Forests dominated by coniferous trees."
"8","de","Nadelwald","Wälder, die von Nadelbäumen dominiert werden."
"9","cs","tundra","Chladné oblasti s nízkou vegetací a permafrostem."
"9","en","Tundra","Cold regions with low vegetation and permafrost."
"9","de","Tundra","Kalte Regionen mit niedriger Vegetation und Permafrost."
"10","cs","polární oblasti","Extrémně chladné oblasti na severu a jihu planety."
"10","en","Polar regions","Extremely cold regions at the north and south of the planet."
"10","de","Polarregionen","Extrem kalte Regionen im Norden und Süden des Planeten."
"11","cs","kamenité stepi a polopouště","Suché oblasti s kamenitou půdou a řídkou vegetací."
"11","en","Rocky steppes and semi-deserts","Arid regions with rocky soil and sparse vegetation."
"11","de","Felsige Steppen und Halbwüsten","Trockene Gebiete mit felsigem Boden und spärlichem Bewuchs."
